id_contrato,id_alma,fecha_firma,valor_en_almas,clausulas,cumplido,demonio_firmante
355,1549,1942-01-10,94.0,Cesión de alma secundaria,S,476
356,5805,2006-04-22,644.0,Cláusula 66A,S,54
357,1821,1974-03-04,11.0,Contrato eterno,N,187
358,7990,1937-04-06,544.0,Anexo 13,N,313
359,4012,2007-07-15,594.0,Contrato eterno,S,30
360,4403,2020-01-17,484.0,Cláusula 66A,S,106
361,9513,2020-04-24,791.0,Anexo 13,N,414
362,6227,2025-01-02,234.0,Cesión de alma secundaria,N,389
363,9248,1948-07-01,114.0,Anexo 13,N,240
364,6151,1973-04-15,85.0,Renovación automática,N,61
365,6804,1934-04-30,912.0,Renovación automática,S,377
366,2974,1971-09-13,60.0,Cláusula 66A,S,188
367,7474,1944-11-18,852.0,Renovación automática,N,26
368,8303,1989-06-20,308.0,Cesión de alma secundaria,S,128
369,6205,1934-10-25,178.0,Cláusula 66A,N,411
370,1394,2006-12-14,587.0,Cláusula 66A,S,358
371,6577,2017-02-10,313.0,Contrato eterno,S,374
372,1971,1928-05-03,954.0,Cesión de alma secundaria,S,230
373,9255,1952-06-13,29.0,Anexo 13,S,157
374,6189,2015-08-30,,Renovación automática,N,344
375,8986,1967-09-17,805.0,Cláusula 66A,N,82
376,764,1972-04-17,271.0,Renovación automática,S,50
377,1639,1977-04-16,759.0,Renovación automática,N,362
378,3033,1992-06-12,579.0,Anexo 13,N,407
379,5755,2024-01-22,,Renovación automática,N,384
380,6871,2000-03-26,873.0,Contrato eterno,S,404
381,709,1999-06-23,76.0,Renovación automática,N,296
382,1526,2015-04-28,407.0,Renovación automática,N,77
383,5017,1931-06-23,578.0,Anexo 13,S,147
384,688,1951-01-04,844.0,Contrato eterno,N,261
385,8082,1960-05-24,521.0,Cesión de alma secundaria,S,166
386,4093,1975-02-18,630.0,Anexo 13,N,229
387,784,1977-02-24,882.0,Cláusula 66A,S,402
388,843,1948-10-15,848.0,Contrato eterno,S,58
389,796,1993-04-14,311.0,Anexo 13,S,376
390,9014,2002-09-07,126.0,Cláusula 66A,N,130
391,697,1946-02-27,674.0,Contrato eterno,S,45
392,4853,1996-03-03,820.0,Contrato eterno,S,57
393,7888,2011-05-21,622.0,Cesión de alma secundaria,S,71
394,9909,1998-04-14,955.0,Renovación automática,N,8
395,777,1938-06-04,733.0,Anexo 13,N,20
396,7025,1925-10-29,647.0,Cláusula 66A,S,366
397,1192,1942-07-16,992.0,Renovación automática,S,166
398,1477,2024-08-31,889.0,Contrato eterno,S,4
399,8375,1958-04-09,832.0,Contrato eterno,N,215
400,2478,1982-11-24,96.0,Renovación automática,S,127
401,2332,1961-06-16,791.0,Cesión de alma secundaria,N,125
402,1033,1948-02-14,595.0,Cesión de alma secundaria,S,9
403,9515,1952-08-14,485.0,Cláusula 66A,S,369
404,299,1957-12-13,128.0,Cesión de alma secundaria,N,450
405,5919,2002-09-01,936.0,Anexo 13,N,454
406,7724,1981-06-04,823.0,Renovación automática,N,9999
407,2798,1999-06-13,14.0,Cesión de alma secundaria,S,307
408,6452,2014-10-11,556.0,Contrato eterno,N,470
409,3489,1942-05-26,833.0,Renovación automática,S,137
410,9499,1935-01-28,925.0,Renovación automática,N,196
411,9442,1998-05-02,992.0,Renovación automática,S,386
412,8816,1938-04-04,777.0,Contrato eterno,S,30
413,4496,3000-13-40,546.0,Anexo 13,S,321
414,3368,1996-01-15,156.0,Cesión de alma secundaria,S,484
415,6353,2013-05-11,101.0,Contrato eterno,S,385
416,918,1982-05-27,239.0,Renovación automática,S,222
417,9638,1984-01-08,613.0,Anexo 13,S,109
418,2182,2021-06-20,283.0,Cesión de alma secundaria,S,76
419,7438,1940-04-27,974.0,Anexo 13,S,414
420,3867,1989-09-19,354.0,Anexo 13,N,67
421,3804,1967-02-26,125.0,Renovación automática,S,222
422,3117,1960-02-26,952.0,Cesión de alma secundaria,S,326
423,1409,1984-04-26,985.0,Renovación automática,S,278
424,471,1947-12-20,179.0,Cesión de alma secundaria,S,9999
425,2229,1942-04-21,777.0,Contrato eterno,S,15
426,703,1995-04-04,343.0,Cláusula 66A,S,2
427,2710,1929-03-15,501.0,Cesión de alma secundaria,S,379
428,7692,1937-10-25,410.0,Anexo 13,S,255
429,8515,1974-07-10,374.0,Contrato eterno,S,265
430,2696,1945-04-12,788.0,Anexo 13,N,358
431,3512,2018-01-15,807.0,Cláusula 66A,S,216
432,580,1939-02-03,731.0,Contrato eterno,N,167
433,7680,1953-04-18,767.0,Contrato eterno,S,433
434,1843,1980-01-04,665.0,Renovación automática,S,486
435,49,1986-01-23,456.0,Cláusula 66A,S,210
436,5531,1968-12-19,138.0,Contrato eterno,N,275
437,2710,3000-13-40,212.0,Cesión de alma secundaria,N,226
438,2954,2023-04-11,820.0,Cesión de alma secundaria,N,232
439,9330,2004-06-16,930.0,Renovación automática,N,84
440,8033,1983-09-20,201.0,Renovación automática,S,484
441,6404,1978-10-01,979.0,Cláusula 66A,N,455
442,2097,1964-06-04,838.0,Renovación automática,N,303
443,3430,1997-07-23,117.0,Anexo 13,N,99
444,2205,1947-12-07,204.0,Cláusula 66A,S,115
445,598,1974-03-11,920.0,Cláusula 66A,N,114
446,746,1955-11-02,126.0,Contrato eterno,N,380
447,6885,1938-06-19,372.0,Anexo 13,S,472
448,3985,2007-04-24,830.0,Cesión de alma secundaria,N,276
449,7131,1958-05-01,479.0,Contrato eterno,N,11
450,9109,2010-09-21,282.0,Anexo 13,S,229
451,837,1947-06-09,,Cesión de alma secundaria,S,121
452,7962,1938-02-06,305.0,Cláusula 66A,S,186
453,4481,1930-09-25,165.0,Contrato eterno,S,348
454,6325,1986-07-12,595.0,Renovación automática,S,184
455,5190,1959-11-23,149.0,Renovación automática,N,256
456,522,2016-10-12,48.0,Anexo 13,N,60
457,9,1937-08-14,465.0,Contrato eterno,S,267
458,6792,1949-08-19,432.0,Cesión de alma secundaria,S,122
459,2362,2003-08-03,134.0,Contrato eterno,N,397
460,1051,1960-09-21,627.0,Renovación automática,S,382
461,7097,2010-07-26,744.0,Cláusula 66A,N,409
462,9408,1933-08-29,732.0,Renovación automática,S,78
463,7876,1928-08-18,706.0,Renovación automática,S,225
464,6884,1985-12-20,990.0,Cesión de alma secundaria,N,73
465,4225,1972-01-21,909.0,Cláusula 66A,N,453
466,4623,1997-02-20,947.0,Renovación automática,S,223
467,7471,1981-04-20,167.0,Renovación automática,N,106
468,3737,2015-06-25,951.0,Cesión de alma secundaria,S,137
469,8983,2001-05-03,159.0,Renovación automática,S,311
470,6586,1941-08-03,759.0,Renovación automática,N,120
471,4439,1966-12-09,790.0,Cláusula 66A,N,320
472,6960,1963-01-08,648.0,Anexo 13,N,323
473,8315,1958-09-26,626.0,Contrato eterno,N,439
474,850,2002-05-02,509.0,Anexo 13,S,300
475,2832,1945-05-08,664.0,Cláusula 66A,S,217
476,8656,2013-01-22,604.0,Cláusula 66A,S,378
477,7083,1959-02-09,482.0,Cesión de alma secundaria,S,39
478,7592,1994-09-10,365.0,Cláusula 66A,N,75
479,4623,1978-01-15,328.0,Cláusula 66A,N,179
480,4990,1972-05-20,869.0,Anexo 13,N,327
481,1750,1984-01-27,549.0,Anexo 13,S,341
482,6237,1987-12-11,959.0,Renovación automática,N,60
483,2021,1954-08-23,898.0,Anexo 13,S,87
484,3498,1980-05-20,703.0,Cláusula 66A,S,171
485,786,1938-02-18,379.0,Contrato eterno,N,35
486,5862,1940-05-17,250.0,Cláusula 66A,N,425
487,2581,1960-04-03,941.0,Cláusula 66A,S,425
488,8424,2003-03-25,742.0,Cláusula 66A,N,220
489,9733,1979-07-04,683.0,Contrato eterno,S,336
490,4415,1955-12-28,756.0,Cláusula 66A,N,357
491,9209,3000-13-40,438.0,Cesión de alma secundaria,N,418
