id_tormento,id_alma,tipo_tormento,nivel_intensidad,duracion_horas,responsable_demonio,resultado_final
53,3541,Laberinto sin salida,7.0,356,239,Sobrevive
54,4930,Grito eterno,1.0,356,12,Desintegrada
55,3559,Grito eterno,2.0,358,6,Transferida
56,1485,Laberinto sin salida,5.0,522,420,Desintegrada
57,2184,Laberinto sin salida,3.0,515,13,Transferida
58,5590,Grito eterno,1.0,325,58,Reincidente
59,4101,Laberinto sin salida,7.0,244,9999,Reincidente
60,532,Grito eterno,7.0,717,74,Transferida
61,9013,Baño de lava,6.0,651,81,Desintegrada
62,9561,Laberinto sin salida,2.0,685,291,Reincidente
63,1791,Laberinto sin salida,4.0,40,310,Desintegrada
64,6304,Cámara de hielo,2.0,309,218,Desintegrada
65,7769,Grito eterno,1.0,7,465,Desintegrada
66,638,Cámara de hielo,7.0,57,218,Desintegrada
67,2442,Laberinto sin salida,7.0,521,356,Sobrevive
68,2064,Baño de lava,8.0,908,166,Desintegrada
69,730,Grito eterno,4.0,698,498,Transferida
70,8015,Grito eterno,9.0,735,376,Sobrevive
71,223,Loop de reuniones,2.0,556,202,Reincidente
72,13,Baño de lava,2.0,506,456,Reincidente
73,6240,Loop de reuniones,6.0,16,47,Reincidente
74,2443,Loop de reuniones,2.0,375,152,Desintegrada
75,1617,Laberinto sin salida,8.0,375,475,Reincidente
76,2444,Laberinto sin salida,2.0,170,64,Transferida
77,2531,Laberinto sin salida,5.0,399,45,Reincidente
78,7356,Baño de lava,1.0,986,213,Transferida
79,2289,Grito eterno,4.0,313,487,Desintegrada
80,796,Cámara de hielo,7.0,677,132,Reincidente
81,3475,Laberinto sin salida,,346,21,Reincidente
82,8262,Grito eterno,9.0,163,380,Sobrevive
83,6976,Loop de reuniones,6.0,626,462,Desintegrada
84,5629,Cámara de hielo,1.0,218,477,Transferida
85,590,Loop de reuniones,4.0,789,330,Transferida
86,8700,Baño de lava,3.0,783,405,Sobrevive
87,9967,Laberinto sin salida,2.0,209,13,Reincidente
88,1308,Cámara de hielo,1.0,194,393,Sobrevive
89,3322,Grito eterno,,772,401,Sobrevive
90,7649,Laberinto sin salida,6.0,981,205,Sobrevive
91,1414,Laberinto sin salida,2.0,469,282,Transferida
92,363,Grito eterno,9.0,117,127,Desintegrada
93,129,Loop de reuniones,3.0,467,335,Sobrevive
94,7918,Cámara de hielo,,434,9,Desintegrada
95,2128,Laberinto sin salida,7.0,583,318,Sobrevive
96,9715,Loop de reuniones,,621,208,Desintegrada
97,9417,Baño de lava,10.0,12,326,Sobrevive
98,464,Baño de lava,10.0,37,70,Reincidente
99,4791,Grito eterno,6.0,483,244,Desintegrada
100,7644,Baño de lava,3.0,785,299,Transferida
101,4449,Grito eterno,10.0,586,41,Reincidente
102,312,Laberinto sin salida,1.0,358,443,Reincidente
103,4933,Loop de reuniones,2.0,480,350,Sobrevive
104,4988,Loop de reuniones,2.0,133,276,Sobrevive
105,3920,Loop de reuniones,4.0,248,332,Transferida
106,605,Laberinto sin salida,9.0,965,472,Desintegrada
107,6688,Cámara de hielo,2.0,120,191,Transferida
108,7338,Laberinto sin salida,7.0,860,481,Transferida
109,9588,Baño de lava,1.0,542,449,Sobrevive
110,8827,Grito eterno,6.0,668,249,Reincidente
111,2880,Laberinto sin salida,2.0,679,352,Sobrevive
112,6451,Laberinto sin salida,3.0,409,38,Transferida
113,264,Loop de reuniones,9.0,293,206,Sobrevive
114,9081,Grito eterno,8.0,902,349,Reincidente
115,1829,Grito eterno,2.0,743,12,Transferida
116,9287,Cámara de hielo,9.0,781,241,Desintegrada
117,2048,Cámara de hielo,1.0,688,297,Desintegrada
118,5938,Baño de lava,10.0,360,264,Desintegrada
119,1025,Grito eterno,3.0,566,478,Reincidente
120,5688,Loop de reuniones,9.0,599,434,Transferida
121,7480,Grito eterno,4.0,744,450,Transferida
122,1657,Loop de reuniones,10.0,97,463,Transferida
123,1462,Baño de lava,2.0,987,56,Sobrevive
124,8791,Laberinto sin salida,4.0,501,129,Desintegrada
125,4876,Loop de reuniones,9.0,43,467,Transferida
126,4970,Laberinto sin salida,5.0,296,221,Reincidente
127,3407,Cámara de hielo,1.0,285,2,Desintegrada
128,6962,Cámara de hielo,2.0,469,355,Sobrevive
129,450,Laberinto sin salida,7.0,316,247,Desintegrada
130,2641,Loop de reuniones,8.0,940,79,Reincidente
131,8752,Cámara de hielo,8.0,935,306,Reincidente
132,8063,Baño de lava,6.0,769,377,Reincidente
133,3902,Grito eterno,3.0,404,168,Reincidente
134,6802,Baño de lava,1.0,834,369,Desintegrada
135,7108,Baño de lava,2.0,971,253,Desintegrada
136,5717,Grito eterno,10.0,213,20,Sobrevive
137,93,Baño de lava,10.0,630,217,Transferida
138,9305,Laberinto sin salida,8.0,596,370,Sobrevive
139,1239,Laberinto sin salida,7.0,744,289,Reincidente
140,6871,Grito eterno,1.0,8,163,Sobrevive
141,7945,Cámara de hielo,6.0,771,231,Desintegrada
142,5557,Loop de reuniones,1.0,925,165,Reincidente
143,5604,Loop de reuniones,4.0,457,403,Reincidente
144,1601,Loop de reuniones,9.0,178,263,Sobrevive
145,8856,Cámara de hielo,2.0,240,357,Desintegrada
146,8311,Baño de lava,1.0,775,215,Desintegrada
147,8712,Grito eterno,3.0,659,284,Sobrevive
148,9141,Baño de lava,10.0,623,427,Desintegrada
149,684,Baño de lava,5.0,262,194,Desintegrada
150,1465,Grito eterno,4.0,885,269,Reincidente
151,5677,Cámara de hielo,7.0,252,226,Desintegrada
152,5791,Laberinto sin salida,2.0,902,228,Transferida
153,5502,Cámara de hielo,6.0,334,52,Sobrevive
154,6938,Baño de lava,4.0,98,349,Transferida
155,5115,Cámara de hielo,7.0,495,61,Reincidente
156,9236,Loop de reuniones,7.0,748,339,Reincidente
157,5045,Cámara de hielo,1.0,368,494,Reincidente
158,7269,Grito eterno,3.0,621,178,Transferida
159,3911,Loop de reuniones,4.0,25,85,Reincidente
160,6811,Grito eterno,3.0,556,56,Transferida
161,8441,Baño de lava,10.0,158,171,Desintegrada
162,7554,Grito eterno,1.0,909,250,Transferida
163,1042,Laberinto sin salida,1.0,220,343,Transferida
164,4756,Loop de reuniones,3.0,197,52,Desintegrada
165,2416,Cámara de hielo,3.0,90,54,Reincidente
166,9492,Cámara de hielo,2.0,431,160,Desintegrada
167,1226,Loop de reuniones,3.0,486,70,Reincidente
168,7521,Cámara de hielo,6.0,633,142,Reincidente
169,8552,Baño de lava,9.0,718,123,Reincidente
170,3121,Baño de lava,,272,371,Sobrevive
171,7956,Cámara de hielo,5.0,652,298,Desintegrada
172,2507,Grito eterno,10.0,482,53,Reincidente
173,8641,Loop de reuniones,8.0,891,254,Desintegrada
174,9994,Grito eterno,3.0,529,102,Desintegrada
175,6587,Grito eterno,7.0,379,110,Reincidente
176,4991,Loop de reuniones,7.0,705,456,Sobrevive
177,8494,Cámara de hielo,8.0,943,229,Desintegrada
178,2134,Baño de lava,9.0,383,356,Reincidente
179,9507,Baño de lava,3.0,381,166,Reincidente
180,2159,Baño de lava,8.0,814,104,Sobrevive
181,8993,Baño de lava,6.0,476,246,Sobrevive
182,3026,Laberinto sin salida,3.0,800,138,Desintegrada
183,5844,Cámara de hielo,3.0,969,351,Transferida
184,3725,Baño de lava,8.0,178,14,Reincidente
185,2408,Loop de reuniones,1.0,773,324,Desintegrada
186,6513,Laberinto sin salida,8.0,100,91,Reincidente
187,7551,Loop de reuniones,10.0,640,18,???
188,558,Grito eterno,8.0,157,364,Sobrevive
189,961,Loop de reuniones,10.0,774,414,Transferida
190,5960,Laberinto sin salida,1.0,127,217,Sobrevive
191,2468,Grito eterno,1.0,795,165,Sobrevive
192,7419,Laberinto sin salida,7.0,125,325,Sobrevive
193,4345,Laberinto sin salida,9.0,388,121,Transferida
194,827,Baño de lava,4.0,157,393,Transferida
195,8881,Cámara de hielo,3.0,688,415,Transferida
196,7683,Loop de reuniones,5.0,531,26,Transferida
197,6346,Grito eterno,2.0,550,243,Transferida
198,5772,Loop de reuniones,7.0,711,110,Transferida
199,9034,Grito eterno,4.0,546,327,Reincidente
200,5275,Baño de lava,6.0,994,275,Transferida
201,2408,Baño de lava,10.0,854,134,Desintegrada
202,5773,Loop de reuniones,6.0,181,84,Transferida
203,1537,Baño de lava,7.0,605,453,Desintegrada
204,9362,Loop de reuniones,3.0,669,41,Desintegrada
205,3335,Cámara de hielo,9.0,234,186,Sobrevive
206,4093,Cámara de hielo,4.0,888,333,Desintegrada
207,5758,Grito eterno,6.0,593,194,Desintegrada
208,3735,Cámara de hielo,9.0,515,345,Sobrevive
209,1063,Laberinto sin salida,3.0,627,71,Transferida
210,415,Baño de lava,5.0,661,333,Desintegrada
211,5722,Laberinto sin salida,5.0,305,489,Desintegrada
212,4129,Laberinto sin salida,5.0,551,255,Reincidente
213,2381,Grito eterno,,315,427,Desintegrada
214,9234,Loop de reuniones,2.0,985,166,Transferida
215,4151,Loop de reuniones,3.0,737,294,Sobrevive
216,1402,Loop de reuniones,4.0,689,350,Desintegrada
217,9726,Laberinto sin salida,6.0,288,343,Sobrevive
218,6046,Baño de lava,7.0,679,72,Sobrevive
219,62,Cámara de hielo,1.0,121,193,Transferida
220,759,Loop de reuniones,4.0,618,331,Desintegrada
221,6729,Loop de reuniones,3.0,583,269,???
222,7244,Baño de lava,7.0,359,348,Desintegrada
223,7680,Loop de reuniones,2.0,790,270,Transferida
224,654,Grito eterno,6.0,45,159,Reincidente
225,3334,Cámara de hielo,2.0,317,175,Desintegrada
226,7951,Loop de reuniones,6.0,532,404,Sobrevive
227,5694,Cámara de hielo,1.0,627,366,Reincidente
228,2923,Baño de lava,1.0,11,400,Transferida
229,594,Grito eterno,4.0,137,353,Reincidente
230,6322,Loop de reuniones,2.0,276,201,Transferida
231,9122,Grito eterno,6.0,568,429,Transferida
232,5453,Loop de reuniones,1.0,437,322,Sobrevive
233,143,Laberinto sin salida,10.0,880,120,Sobrevive
234,7363,Baño de lava,3.0,9,198,Sobrevive
235,9876,Loop de reuniones,1.0,520,78,Transferida
236,1438,Loop de reuniones,4.0,665,487,Reincidente
237,8400,Grito eterno,3.0,958,206,Transferida
238,7348,Baño de lava,8.0,45,336,Transferida
239,5932,Grito eterno,9.0,986,164,Sobrevive
240,4864,Cámara de hielo,7.0,849,24,Desintegrada
241,6403,Baño de lava,6.0,874,333,Desintegrada
242,9762,Baño de lava,3.0,414,254,Transferida
243,7430,Loop de reuniones,10.0,205,60,Transferida
244,5618,Grito eterno,2.0,743,221,Transferida
245,7967,Laberinto sin salida,8.0,694,368,Reincidente
246,1956,Grito eterno,1.0,780,426,Desintegrada
247,2374,Laberinto sin salida,3.0,999,86,Transferida
248,3117,Loop de reuniones,5.0,356,14,Desintegrada
249,1971,Loop de reuniones,,184,87,Sobrevive
250,6049,Laberinto sin salida,8.0,660,420,Transferida
251,531,Loop de reuniones,7.0,234,432,Sobrevive
252,425,Loop de reuniones,4.0,228,20,Desintegrada
253,1979,Laberinto sin salida,3.0,498,42,Reincidente
254,2036,Cámara de hielo,4.0,609,431,Sobrevive
255,5279,Laberinto sin salida,7.0,71,107,Reincidente
256,1870,Grito eterno,6.0,378,271,Transferida
257,942,Cámara de hielo,4.0,757,282,Reincidente
258,4409,Laberinto sin salida,10.0,5,209,Sobrevive
259,2810,Grito eterno,9.0,485,488,Desintegrada
260,7247,Baño de lava,8.0,870,176,Transferida
261,8789,Grito eterno,10.0,18,410,Reincidente
262,2589,Cámara de hielo,2.0,413,9999,Transferida
263,7660,Loop de reuniones,5.0,494,427,Sobrevive
264,6108,Laberinto sin salida,6.0,432,60,Desintegrada
265,700,Laberinto sin salida,4.0,758,198,Sobrevive
266,5860,Loop de reuniones,4.0,754,383,Reincidente
267,8771,Grito eterno,8.0,288,135,Desintegrada
268,9605,Loop de reuniones,,265,162,Desintegrada
269,5800,Grito eterno,7.0,430,265,Desintegrada
270,6788,Cámara de hielo,6.0,830,15,Sobrevive
271,9075,Cámara de hielo,9.0,774,406,Desintegrada
272,1588,Laberinto sin salida,10.0,655,449,Desintegrada
273,6349,Baño de lava,7.0,186,216,Reincidente
274,1641,Cámara de hielo,4.0,7,414,Transferida
275,1413,Cámara de hielo,1.0,952,383,Desintegrada
276,3318,Loop de reuniones,1.0,114,272,Desintegrada
277,7691,Cámara de hielo,4.0,549,3,Reincidente
278,3800,Cámara de hielo,6.0,790,325,Sobrevive
279,6002,Baño de lava,5.0,268,31,Desintegrada
280,8814,Loop de reuniones,8.0,714,9,Sobrevive
281,3962,Baño de lava,5.0,290,193,Reincidente
282,8261,Loop de reuniones,8.0,668,73,Reincidente
283,4097,Baño de lava,7.0,855,209,Reincidente
284,6878,Cámara de hielo,8.0,917,50,Sobrevive
285,3535,Grito eterno,3.0,314,174,Desintegrada
286,5251,Baño de lava,9.0,182,411,Sobrevive
287,2091,Cámara de hielo,9.0,873,33,Sobrevive
288,5669,Loop de reuniones,10.0,789,485,Desintegrada
289,462,Baño de lava,8.0,872,165,Transferida
290,5670,Baño de lava,6.0,919,105,Desintegrada
291,6248,Loop de reuniones,9.0,637,39,Reincidente
292,1807,Baño de lava,1.0,504,361,Desintegrada
293,5323,Baño de lava,7.0,389,248,Sobrevive
294,3616,Cámara de hielo,2.0,146,416,Sobrevive
295,6034,Grito eterno,2.0,40,343,Desintegrada
296,7653,Baño de lava,1.0,2,348,Desintegrada
297,1778,Baño de lava,6.0,840,342,Transferida
298,3838,Cámara de hielo,3.0,466,241,Desintegrada
299,523,Laberinto sin salida,3.0,93,437,Sobrevive
300,5267,Grito eterno,7.0,73,332,Transferida
301,7344,Cámara de hielo,5.0,733,161,Sobrevive
302,5309,Baño de lava,10.0,441,238,Desintegrada
303,660,Laberinto sin salida,8.0,533,475,???
304,2448,Laberinto sin salida,8.0,707,252,Desintegrada
305,7433,Laberinto sin salida,4.0,844,283,Desintegrada
306,9230,Cámara de hielo,4.0,222,184,Transferida
307,6570,Baño de lava,10.0,507,366,Reincidente
308,4940,Cámara de hielo,3.0,905,41,Reincidente
309,5877,Grito eterno,6.0,163,359,Transferida
310,9865,Laberinto sin salida,5.0,289,100,Reincidente
311,9171,Grito eterno,4.0,309,389,Reincidente
312,5719,Loop de reuniones,9.0,79,228,Reincidente
313,5800,Baño de lava,7.0,370,496,Sobrevive
314,7293,Laberinto sin salida,2.0,39,344,Reincidente
315,9700,Loop de reuniones,6.0,64,448,Reincidente
316,3756,Loop de reuniones,,229,316,Reincidente
317,3807,Baño de lava,9.0,93,401,Sobrevive
318,1636,Baño de lava,3.0,814,49,Desintegrada
319,7848,Grito eterno,,636,455,Reincidente
320,936,Grito eterno,10.0,660,26,Sobrevive
321,7337,Grito eterno,1.0,587,147,Sobrevive
322,438,Laberinto sin salida,3.0,19,205,Reincidente
323,9008,Loop de reuniones,7.0,369,443,Transferida
324,7984,Laberinto sin salida,9.0,843,53,Reincidente
325,5870,Laberinto sin salida,7.0,510,440,Desintegrada
326,1014,Grito eterno,2.0,495,277,???
327,9940,Loop de reuniones,2.0,675,151,Transferida
328,597,Cámara de hielo,5.0,562,298,Reincidente
329,7668,Baño de lava,3.0,993,213,Desintegrada
330,9953,Cámara de hielo,8.0,226,412,Sobrevive
331,7626,Laberinto sin salida,5.0,220,117,Reincidente
332,9796,Baño de lava,1.0,892,122,Reincidente
333,9229,Grito eterno,1.0,171,476,Sobrevive
334,496,Loop de reuniones,8.0,58,131,Transferida
335,6892,Grito eterno,4.0,996,439,Desintegrada
336,600,Cámara de hielo,8.0,648,246,Transferida
337,7317,Cámara de hielo,3.0,612,40,Desintegrada
338,2804,Loop de reuniones,6.0,231,427,Desintegrada
339,621,Laberinto sin salida,10.0,605,349,Reincidente
340,5039,Laberinto sin salida,3.0,566,21,Reincidente
341,3474,Grito eterno,4.0,343,50,Reincidente
342,9077,Loop de reuniones,10.0,796,237,Reincidente
343,4043,Baño de lava,9.0,198,38,Reincidente
344,9361,Cámara de hielo,7.0,359,424,Transferida
345,6357,Grito eterno,10.0,67,93,Reincidente
346,4801,Laberinto sin salida,7.0,592,313,Sobrevive
347,8353,Grito eterno,7.0,400,224,Reincidente
348,7104,Cámara de hielo,6.0,320,28,Sobrevive
349,4265,Cámara de hielo,3.0,76,70,Reincidente
350,6354,Baño de lava,10.0,939,389,Desintegrada
351,7775,Cámara de hielo,4.0,849,166,Transferida
352,2780,Loop de reuniones,10.0,321,225,Reincidente
353,6887,Laberinto sin salida,9.0,373,106,Transferida
354,7981,Baño de lava,6.0,623,466,Sobrevive
355,4003,Laberinto sin salida,5.0,98,295,Reincidente
356,4693,Laberinto sin salida,4.0,838,308,Transferida
357,2814,Cámara de hielo,3.0,46,261,???
358,6866,Laberinto sin salida,10.0,565,186,Reincidente
359,108,Loop de reuniones,7.0,510,340,Sobrevive
360,1199,Cámara de hielo,10.0,975,451,Reincidente
361,1095,Baño de lava,,380,165,Reincidente
362,4905,Grito eterno,10.0,917,17,Reincidente
363,5117,Grito eterno,3.0,272,436,Sobrevive
364,8801,Baño de lava,10.0,228,113,Reincidente
365,4074,Baño de lava,5.0,868,309,Desintegrada
366,6848,Loop de reuniones,1.0,450,3,Reincidente
367,839,Loop de reuniones,9.0,275,85,Sobrevive
368,8825,Cámara de hielo,8.0,773,378,Transferida
369,5030,Loop de reuniones,10.0,936,18,Desintegrada
370,9980,Grito eterno,8.0,268,283,Reincidente
371,5796,Loop de reuniones,2.0,991,101,Transferida
372,6254,Cámara de hielo,8.0,106,39,???
373,7294,Loop de reuniones,3.0,925,303,Reincidente
374,7589,Grito eterno,2.0,541,490,Sobrevive
375,6509,Baño de lava,7.0,645,136,Sobrevive
376,5480,Cámara de hielo,1.0,503,64,Reincidente
377,5486,Grito eterno,9.0,204,262,Sobrevive
378,6195,Baño de lava,7.0,758,193,Desintegrada
379,4619,Cámara de hielo,2.0,349,398,Desintegrada
380,1011,Laberinto sin salida,2.0,981,34,Sobrevive
381,3743,Loop de reuniones,2.0,852,287,Sobrevive
382,5856,Cámara de hielo,4.0,265,379,Sobrevive
383,6746,Baño de lava,4.0,341,242,Reincidente
384,759,Cámara de hielo,5.0,755,150,Reincidente
385,9014,Baño de lava,9.0,768,174,Sobrevive
386,2628,Grito eterno,7.0,660,212,Transferida
387,3696,Cámara de hielo,1.0,760,498,Reincidente
388,9652,Laberinto sin salida,8.0,670,426,Desintegrada
389,7834,Laberinto sin salida,5.0,709,34,Desintegrada
390,734,Grito eterno,5.0,288,147,Transferida
391,1244,Baño de lava,8.0,854,220,Sobrevive
392,1698,Grito eterno,6.0,331,195,Transferida
393,9696,Laberinto sin salida,2.0,528,387,???
394,633,Cámara de hielo,7.0,340,221,Sobrevive
395,8137,Grito eterno,10.0,740,118,Transferida
396,6378,Baño de lava,5.0,458,268,Desintegrada
397,5110,Baño de lava,7.0,343,389,Reincidente
398,9701,Cámara de hielo,7.0,547,285,Sobrevive
399,1881,Loop de reuniones,1.0,217,253,Reincidente
400,2145,Loop de reuniones,1.0,803,135,Sobrevive
401,8901,Grito eterno,9.0,749,201,Desintegrada
402,515,Cámara de hielo,8.0,843,461,Reincidente
403,9966,Loop de reuniones,7.0,264,158,Transferida
404,8365,Loop de reuniones,8.0,493,134,Reincidente
405,8725,Cámara de hielo,7.0,681,255,Desintegrada
406,5692,Grito eterno,4.0,533,183,Transferida
407,909,Loop de reuniones,3.0,627,66,Sobrevive
408,4831,Cámara de hielo,7.0,600,485,Transferida
409,7011,Loop de reuniones,3.0,192,428,Transferida
410,4010,Grito eterno,6.0,291,147,Sobrevive
411,653,Laberinto sin salida,10.0,217,287,Transferida
412,301,Laberinto sin salida,1.0,4,231,Reincidente
413,6641,Cámara de hielo,7.0,207,470,Desintegrada
414,8688,Loop de reuniones,9.0,609,139,Reincidente
415,742,Grito eterno,10.0,557,406,Desintegrada
416,2918,Baño de lava,10.0,198,168,Sobrevive
417,451,Cámara de hielo,1.0,393,172,Sobrevive
418,5049,Loop de reuniones,8.0,855,246,Reincidente
419,2809,Laberinto sin salida,9.0,708,229,???
420,7218,Laberinto sin salida,1.0,173,191,Transferida
421,4763,Grito eterno,4.0,89,102,Desintegrada
422,2382,Laberinto sin salida,8.0,806,86,Reincidente
423,3870,Loop de reuniones,7.0,849,487,Desintegrada
424,4386,Laberinto sin salida,1.0,638,370,Reincidente
425,9264,Loop de reuniones,5.0,513,9999,Sobrevive
426,1399,Baño de lava,9.0,637,452,Desintegrada
427,9298,Cámara de hielo,9.0,552,18,Sobrevive
428,3186,Loop de reuniones,2.0,768,316,Sobrevive
429,7993,Grito eterno,9.0,663,303,Desintegrada
430,5252,Grito eterno,8.0,182,263,Transferida
431,1507,Grito eterno,6.0,477,415,Desintegrada
432,601,Cámara de hielo,2.0,914,241,Reincidente
433,9331,Grito eterno,1.0,783,360,Desintegrada
434,6677,Cámara de hielo,4.0,877,310,Desintegrada
435,3302,Laberinto sin salida,8.0,480,399,Reincidente
436,6052,Laberinto sin salida,2.0,521,138,Desintegrada
437,6456,Cámara de hielo,4.0,556,270,Desintegrada
438,3231,Laberinto sin salida,1.0,780,119,Sobrevive
439,8439,Laberinto sin salida,7.0,705,406,Desintegrada
440,78,Grito eterno,7.0,920,149,Desintegrada
441,8870,Cámara de hielo,4.0,440,72,Desintegrada
442,1065,Loop de reuniones,2.0,653,429,Desintegrada
443,6929,Grito eterno,2.0,576,370,Sobrevive
444,8502,Laberinto sin salida,10.0,147,319,Reincidente
445,2799,Laberinto sin salida,10.0,305,413,Reincidente
446,7784,Cámara de hielo,6.0,295,486,Sobrevive
447,3415,Laberinto sin salida,3.0,639,484,Sobrevive
448,3954,Loop de reuniones,,664,1,Desintegrada
449,252,Laberinto sin salida,4.0,676,411,Sobrevive
450,3363,Grito eterno,4.0,977,244,Sobrevive
451,9827,Cámara de hielo,7.0,894,476,Sobrevive
452,6185,Laberinto sin salida,2.0,198,206,???
453,4145,Laberinto sin salida,9.0,972,190,Reincidente
454,4272,Cámara de hielo,4.0,254,267,Reincidente
455,1001,Loop de reuniones,3.0,267,52,Sobrevive
456,9132,Laberinto sin salida,1.0,740,496,Transferida
457,912,Grito eterno,3.0,848,84,Desintegrada
458,8626,Grito eterno,9.0,565,93,Transferida
459,2549,Grito eterno,2.0,640,187,Reincidente
460,7719,Laberinto sin salida,6.0,84,458,Reincidente
461,2708,Cámara de hielo,4.0,189,235,Sobrevive
462,2183,Grito eterno,3.0,954,416,Transferida
463,6877,Grito eterno,3.0,720,65,Reincidente
464,8876,Grito eterno,1.0,377,34,Transferida
465,1442,Cámara de hielo,5.0,1,322,Reincidente
466,5314,Loop de reuniones,4.0,549,359,Transferida
467,7765,Grito eterno,7.0,752,254,Reincidente
468,3398,Loop de reuniones,8.0,113,490,Desintegrada
469,9086,Loop de reuniones,6.0,698,421,Desintegrada
470,1752,Grito eterno,10.0,695,45,Sobrevive
471,1588,Laberinto sin salida,2.0,98,190,Reincidente
472,1694,Laberinto sin salida,9.0,718,303,Desintegrada
473,4397,Cámara de hielo,6.0,191,370,Reincidente
474,5446,Baño de lava,7.0,969,154,Sobrevive
475,7139,Loop de reuniones,4.0,870,429,Sobrevive
476,3770,Laberinto sin salida,7.0,562,419,Desintegrada
477,4505,Cámara de hielo,6.0,918,230,Sobrevive
478,6242,Baño de lava,4.0,160,10,Desintegrada
479,7932,Baño de lava,7.0,41,283,Desintegrada
480,8016,Grito eterno,9.0,11,28,Transferida
481,5770,Loop de reuniones,5.0,454,452,???
482,5612,Laberinto sin salida,5.0,313,368,Sobrevive
483,2165,Loop de reuniones,7.0,989,75,Reincidente
484,93,Cámara de hielo,6.0,331,425,Sobrevive
485,3596,Cámara de hielo,1.0,493,269,Sobrevive
486,3651,Grito eterno,1.0,33,335,Sobrevive
487,5923,Cámara de hielo,4.0,135,321,Sobrevive
488,221,Laberinto sin salida,5.0,465,15,Transferida
489,6998,Laberinto sin salida,7.0,391,313,Transferida
490,6598,Baño de lava,2.0,951,316,Sobrevive
491,3534,Loop de reuniones,8.0,712,146,Desintegrada
492,948,Laberinto sin salida,4.0,285,45,Transferida
493,1797,Grito eterno,3.0,882,457,Sobrevive
494,8322,Grito eterno,3.0,175,309,Desintegrada
495,4323,Laberinto sin salida,8.0,463,197,Sobrevive
496,5935,Cámara de hielo,5.0,505,361,Sobrevive
497,6568,Laberinto sin salida,4.0,184,94,Desintegrada
498,6480,Baño de lava,10.0,692,96,Sobrevive
499,5081,Grito eterno,7.0,592,448,Transferida
500,4113,Grito eterno,1.0,505,240,Sobrevive
501,7931,Loop de reuniones,1.0,582,109,Transferida
502,3649,Cámara de hielo,2.0,746,206,Desintegrada
503,7834,Baño de lava,4.0,227,309,Reincidente
504,4537,Loop de reuniones,2.0,208,41,Transferida
505,9446,Laberinto sin salida,7.0,934,287,???
506,2498,Cámara de hielo,9.0,243,29,Transferida
